# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,ell
6.5926e-19,6.0900e+02
6.5332e-19,6.1000e+02
6.4744e-19,6.1100e+02
6.4166e-19,6.1200e+02
6.3593e-19,6.1300e+02
6.3026e-19,6.1400e+02
6.2464e-19,6.1500e+02
6.1908e-19,6.1600e+02
6.1356e-19,6.1700e+02
6.0815e-19,6.1800e+02
6.0274e-19,6.1900e+02
5.9742e-19,6.2000e+02
5.9215e-19,6.2100e+02
5.8693e-19,6.2200e+02
5.8176e-19,6.2300e+02
5.7664e-19,6.2400e+02
5.7157e-19,6.2500e+02
5.6658e-19,6.2600e+02
5.6164e-19,6.2700e+02
5.5670e-19,6.2800e+02
5.5185e-19,6.2900e+02
5.4705e-19,6.3000e+02
5.4229e-19,6.3100e+02
5.3757e-19,6.3200e+02
5.3294e-19,6.3300e+02
5.2831e-19,6.3400e+02
5.2376e-19,6.3500e+02
5.1925e-19,6.3600e+02
5.1478e-19,6.3700e+02
5.1035e-19,6.3800e+02
5.0597e-19,6.3900e+02
5.0162e-19,6.4000e+02
4.9731e-19,6.4100e+02
4.9308e-19,6.4200e+02
4.8885e-19,6.4300e+02
4.8469e-19,6.4400e+02
4.8057e-19,6.4500e+02
4.7649e-19,6.4600e+02
4.7245e-19,6.4700e+02
4.6844e-19,6.4800e+02
4.6447e-19,6.4900e+02
4.6056e-19,6.5000e+02
4.5666e-19,6.5100e+02
4.5283e-19,6.5200e+02
4.4900e-19,6.5300e+02
4.4523e-19,6.5400e+02
4.4150e-19,6.5500e+02
4.3780e-19,6.5600e+02
4.3413e-19,6.5700e+02
4.3053e-19,6.5800e+02
4.2693e-19,6.5900e+02
4.2340e-19,6.6000e+02
4.1986e-19,6.6100e+02
4.1638e-19,6.6200e+02
4.1294e-19,6.6300e+02
4.0952e-19,6.6400e+02
4.0614e-19,6.6500e+02
4.0278e-19,6.6600e+02
3.9946e-19,6.6700e+02
3.9619e-19,6.6800e+02
3.9292e-19,6.6900e+02
3.8971e-19,6.7000e+02
3.8650e-19,6.7100e+02
3.8335e-19,6.7200e+02
3.8022e-19,6.7300e+02
3.7712e-19,6.7400e+02
3.7405e-19,6.7500e+02
3.7100e-19,6.7600e+02
3.6798e-19,6.7700e+02
3.6501e-19,6.7800e+02
3.6204e-19,6.7900e+02
3.5913e-19,6.8000e+02
3.5621e-19,6.8100e+02
