# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,Nl,ell
5.0947e-08,6.7825e-07,3.3800e+02
5.0767e-08,6.7895e-07,3.3900e+02
5.0586e-08,6.7964e-07,3.4000e+02
5.0408e-08,6.8030e-07,3.4100e+02
5.0229e-08,6.8093e-07,3.4200e+02
5.0053e-08,6.8155e-07,3.4300e+02
4.9876e-08,6.8214e-07,3.4400e+02
4.9702e-08,6.8271e-07,3.4500e+02
4.9527e-08,6.8327e-07,3.4600e+02
4.9354e-08,6.8380e-07,3.4700e+02
4.9182e-08,6.8432e-07,3.4800e+02
4.9009e-08,6.8481e-07,3.4900e+02
4.8839e-08,6.8530e-07,3.5000e+02
4.8668e-08,6.8576e-07,3.5100e+02
4.8500e-08,6.8621e-07,3.5200e+02
4.8332e-08,6.8665e-07,3.5300e+02
4.8164e-08,6.8708e-07,3.5400e+02
4.7997e-08,6.8749e-07,3.5500e+02
4.7831e-08,6.8790e-07,3.5600e+02
4.7666e-08,6.8829e-07,3.5700e+02
4.7502e-08,6.8868e-07,3.5800e+02
4.7339e-08,6.8906e-07,3.5900e+02
4.7176e-08,6.8943e-07,3.6000e+02
4.7014e-08,6.8980e-07,3.6100e+02
4.6854e-08,6.9015e-07,3.6200e+02
4.6693e-08,6.9050e-07,3.6300e+02
4.6533e-08,6.9084e-07,3.6400e+02
4.6375e-08,6.9118e-07,3.6500e+02
4.6218e-08,6.9150e-07,3.6600e+02
4.6060e-08,6.9182e-07,3.6700e+02
4.5903e-08,6.9212e-07,3.6800e+02
4.5748e-08,6.9242e-07,3.6900e+02
4.5594e-08,6.9270e-07,3.7000e+02
4.5438e-08,6.9297e-07,3.7100e+02
4.5286e-08,6.9323e-07,3.7200e+02
4.5134e-08,6.9347e-07,3.7300e+02
4.4981e-08,6.9370e-07,3.7400e+02
4.4831e-08,6.9392e-07,3.7500e+02
4.4680e-08,6.9413e-07,3.7600e+02
4.4531e-08,6.9432e-07,3.7700e+02
4.4381e-08,6.9450e-07,3.7800e+02
4.4232e-08,6.9467e-07,3.7900e+02
4.4084e-08,6.9482e-07,3.8000e+02
4.3938e-08,6.9497e-07,3.8100e+02
4.3792e-08,6.9510e-07,3.8200e+02
4.3646e-08,6.9521e-07,3.8300e+02
4.3502e-08,6.9532e-07,3.8400e+02
4.3357e-08,6.9541e-07,3.8500e+02
4.3214e-08,6.9549e-07,3.8600e+02
4.3071e-08,6.9556e-07,3.8700e+02
4.2928e-08,6.9561e-07,3.8800e+02
4.2787e-08,6.9565e-07,3.8900e+02
4.2646e-08,6.9568e-07,3.9000e+02
4.2506e-08,6.9569e-07,3.9100e+02
4.2366e-08,6.9570e-07,3.9200e+02
4.2228e-08,6.9569e-07,3.9300e+02
4.2089e-08,6.9568e-07,3.9400e+02
